,alpha,betaMarket,betaValue,p_alpha,p_betaMarket,p_betaValue
Asset1,-0.6034148661347745,1.3784051378724613,1.2734589429070884,0.0009151421452537886,1.1015168656103595e-149,6.55804766091031e-48
Asset2,-0.04731710858579661,1.1003193172647727,0.9398563725317137,0.700791190831334,7.434477034906245e-182,6.362826117847971e-55
Asset3,0.06026494500873923,1.0860749749277518,1.0325355567933525,0.6372739019532357,1.7930100927539533e-171,3.214031831370591e-60
Asset4,0.10806373391340368,1.0411643582879382,0.9754969590905667,0.38318832596753905,3.2215004843644975e-169,9.013859462501822e-58
Asset5,0.11220885447991999,1.0437917098112075,0.9052008386992323,0.3530699212701842,6.91046601484504e-175,2.678049216831408e-53
Asset6,0.08871302786157247,1.0629088602405483,0.8535070776987752,0.484689297603633,1.7219917778835672e-168,1.5283314689501143e-44
Asset7,0.1990982227648247,1.0928466793661604,0.8958158449048088,0.13716753809621632,1.865647276984079e-163,3.35528747577317e-44
Asset8,0.04186305199102114,1.1578371598594286,0.8932188915329228,0.7664608642280132,1.1876416624524022e-164,2.554329190087197e-40
Asset9,0.012868146031897981,1.2190701796928929,0.8288330271498552,0.9309906003934963,2.172707564977267e-164,1.940689846753773e-32
Asset10,-0.23266991705935441,1.2778001272455533,0.8896206942410784,0.17867312972989713,2.1542856388236386e-144,3.1276774014970395e-28
Asset11,-0.6453076482596314,1.527018837743232,1.1193694709060695,0.00023007359668224476,1.0926355018274815e-177,3.208864671877893e-41
Asset12,-0.23484476442477176,1.2394195475167336,0.8964247892773758,0.06196716950569005,3.503636357499587e-203,3.792554297042872e-49
Asset13,0.015005170351032202,1.1518951658316476,0.9036699376822057,0.9046142447137107,5.254776296640079e-188,4.2409432200144685e-50
Asset14,-0.05159979745029021,1.1747377665978656,0.8513136093294684,0.6840062175457806,1.4573678274324287e-189,1.915806705166695e-44
Asset15,0.016044289979616655,1.1289064904189403,0.7481785688582963,0.8896871193196918,7.753537035406834e-201,9.916287803557492e-42
Asset16,-0.1450332950559665,1.1302709432663085,0.7602922859288019,0.2404051614465576,6.086019912428072e-187,2.1267055945833341e-38
Asset17,0.30672518810339666,1.1429676967282218,0.9307642668119235,0.3062265700638548,1.1756270022637814e-54,8.122109409735594e-12
Asset18,-0.17847546778554357,1.1532718387764906,0.6908784922218798,0.18725136921127805,3.685506043061198e-172,7.049282903609339e-28
Asset19,-0.1490100620678922,1.3195023657502016,0.6753056715035608,0.3168075912937206,3.0244750239470454e-180,1.029558570165161e-22
Asset20,-0.04361979948857092,1.4368692336916118,0.45415948697647035,0.8185282323017061,1.4864282198223918e-148,1.1968941588673444e-07
